user_id,device_type,total_watch_time_mins
UIDJS877cc0e02c9,Mobile,14613
UIDJS06384e7ff06,Mobile,13271
UIDJSc3997b7beb7,Mobile,4644
UIDJS66726ce2325,Mobile,5734
UIDJS040119b6107,Mobile,2939
UIDJS5daa088b7c5,Mobile,26875
UIDJS7cebada0faa,Mobile,8184
UIDJSd4c5e07dec1,Mobile,861
UIDJS19b24d07f5e,Mobile,10977
UIDJSe3c8a05da9e,Mobile,2301
UIDJS214afa54724,Mobile,12264
UIDJS6f7e7e240df,Mobile,24501
UIDJSaded28e7a80,Mobile,4175
UIDJS107e5ec223c,Mobile,13642
UIDJSb572ef2b096,Mobile,910
UIDJS5321cb3e6d8,Mobile,33775
UIDJS08a97925e69,Mobile,8249
UIDJS7c99fcee473,Mobile,23202
UIDJS2221e067abd,Mobile,5957
UIDJSdfe25b85001,Mobile,17071
UIDJS9d163bc7c8d,Mobile,2602
UIDJS9b592c0f0bc,Mobile,16866
UIDJSf8be626ffff,Mobile,11927
UIDJSc5bfebcfd18,Mobile,27214
UIDJS0e56d2a5c3d,Mobile,3547
UIDJS8c76ad3650b,Mobile,10688
UIDJSd12dd01f877,Mobile,16784
UIDJSfb0899cca99,Mobile,4705
UIDJSa2e655643ea,Mobile,288
UIDJSff8a5ef264c,Mobile,21561
UIDJSf08e6db8d37,Mobile,8698
UIDJSc1f37e613b5,Mobile,12290
UIDJS09575e6351a,Mobile,22689
UIDJSdc57aa7e111,Mobile,3428
UIDJS1b596bc7c83,Mobile,2489
UIDJSb81df3da755,Mobile,4565
UIDJS3d4c08fe943,Mobile,2933
UIDJS55d8bb21ef1,Mobile,3356
UIDJS8141624fe5a,Mobile,1479
UIDJSd1f0bc102d6,Mobile,7833
UIDJSed6975ba65f,Mobile,13468
UIDJS17c2a7dcdd4,Mobile,19123
UIDJSc70391e3f6f,Mobile,8159
UIDJScc5ee652bff,Mobile,9624
UIDJS33b781871c4,Mobile,9110
UIDJS2e6a455989a,Mobile,11713
UIDJS2a3bc52aebe,Mobile,18819
UIDJSc88a05f09e8,Mobile,7966
UIDJS6018d3df1e3,Mobile,17034
UIDJS5b74b8369c9,Mobile,4641
UIDJS4d7a48c6bdd,Mobile,18826
UIDJSe97f210c797,Mobile,18308
UIDJS7852d32a103,Mobile,8523
UIDJSb6af70a314a,Mobile,5495
UIDJS387b695e420,Mobile,11213
UIDJS4a3114a1739,Mobile,9477
UIDJSb57aec19fbe,Mobile,7457
UIDJS4a5d6582afc,Mobile,29172
UIDJS7f9bbbacd7f,Mobile,9831
UIDJS239c595ed8c,Mobile,27991
UIDJScea21446df3,Mobile,9260
UIDJS5131369ca09,Mobile,6094
UIDJS9adab8b7307,Mobile,2674
UIDJS91be4af370b,Mobile,4932
UIDJS95b7ac8e462,Mobile,2918
UIDJSf74dfeca37f,Mobile,6813
UIDJS79037493972,Mobile,2427
UIDJS2139dda5c5e,Mobile,2974
UIDJS0003a3f54cf,Mobile,5588
UIDJS27fac9fa492,Mobile,30838
UIDJS24150a5d376,Mobile,1445
UIDJS90140241940,Mobile,16739
UIDJS21ab4728428,Mobile,9272
UIDJS0e7f03f6ace,Mobile,4880
UIDJS9ca94d82d8d,Mobile,22719
UIDJS79cc20e704f,Mobile,14636
UIDJS36c71a0b1eb,Mobile,12404
UIDJS76f91aa4ee2,Mobile,11895
UIDJS8f526ed3ddb,Mobile,27753
UIDJS7c20c34396c,Mobile,12676
UIDJS3b8e6e126ca,Mobile,3398
UIDJS07f19afe24f,Mobile,683
UIDJS13f1afa50f8,Mobile,2237
UIDJS6b08f924651,Mobile,14502
UIDJS6763d15351f,Mobile,16927
UIDJSeb87945b70e,Mobile,6551
UIDJS5da84942edb,Mobile,812
UIDJS35d5ac43b91,Mobile,5709
UIDJS05e49bfc934,Mobile,11763
UIDJSac2f1f4feed,Mobile,688
UIDJS7359ff13756,Mobile,2691
UIDJS7466c8d624f,Mobile,3726
UIDJSaf0079e07c5,Mobile,14779
UIDJS6812f9ad6c7,Mobile,8227
UIDJS1c9ad516c9c,Mobile,3165
UIDJS1f25fa1bce5,Mobile,2493
UIDJS9a95ea2947d,Mobile,11045
UIDJS37e34a69bb6,Mobile,20261
UIDJSb47554f7d51,Mobile,1217
UIDJS205eea086d1,Mobile,516
UIDJSdfdebc0326e,Mobile,10622
UIDJS03bad059115,Mobile,21128
UIDJS7453d2e42ca,Mobile,15490
UIDJS946df22905b,Mobile,6054
UIDJS46f34392424,Mobile,24273
UIDJS24913e278c1,Mobile,3607
