user_id,age_group,city_tier,subscription_date,subscription_plan,last_active_date,plan_change_date,new_subscription_plan
UIDJS0000751588f,18-24,"Tier 1",2024-06-10,Premium,NULL,NULL,NULL
UIDJS000093eeb86,18-24,"Tier 1",2024-11-09,Free,NULL,NULL,NULL
UIDJS00010d7fa1e,25-34,"Tier 1",2024-08-08,Free,NULL,NULL,NULL
UIDJS00013411a85,35-44,"Tier 2",2024-05-31,VIP,NULL,NULL,NULL
UIDJS0003a3f54cf,35-44,"Tier 1",2024-09-20,Premium,NULL,NULL,NULL
UIDJS0003c1e814d,45+,"Tier 1",2024-09-29,Free,NULL,NULL,NULL
UIDJS0005148a254,18-24,"Tier 1",2024-11-10,Premium,NULL,NULL,NULL
UIDJS00053f36fed,25-34,"Tier 1",2024-03-07,Premium,NULL,NULL,NULL
UIDJS00054eb2210,25-34,"Tier 3",2024-04-12,Premium,NULL,NULL,NULL
UIDJS0005f952957,25-34,"Tier 3",2024-09-29,VIP,2024-12-02,NULL,NULL
UIDJS00066780176,35-44,"Tier 2",2024-08-14,Free,2024-10-05,NULL,NULL
UIDJS00095c87d92,35-44,"Tier 1",2024-06-06,Premium,2024-07-22,NULL,NULL
UIDJS000cd6a7fe8,25-34,"Tier 1",2024-09-18,Premium,NULL,2024-12-18,VIP
UIDJS000e99e1896,25-34,"Tier 1",2024-05-14,Free,NULL,NULL,NULL
UIDJS0010511043c,45+,"Tier 1",2024-10-13,VIP,NULL,NULL,NULL
UIDJS00128a22453,25-34,"Tier 1",2024-11-19,VIP,NULL,NULL,NULL
UIDJS001420c2f0f,25-34,"Tier 2",2024-04-25,VIP,2024-11-13,NULL,NULL
UIDJS0014d1ad763,18-24,"Tier 1",2024-08-10,Free,NULL,NULL,NULL
UIDJS0018cdf086d,25-34,"Tier 2",2024-03-18,VIP,NULL,NULL,NULL
UIDJS0019b04b32f,18-24,"Tier 1",2024-02-11,VIP,NULL,2024-08-11,Free
UIDJS001aa8810f4,25-34,"Tier 1",2024-06-23,Premium,NULL,NULL,NULL
UIDJS001b7c6be2d,18-24,"Tier 1",2024-11-03,Premium,NULL,NULL,NULL
UIDJS001cbec7b1d,18-24,"Tier 1",2024-08-29,VIP,NULL,NULL,NULL
UIDJS001defd7e03,25-34,"Tier 1",2024-01-18,VIP,NULL,2024-08-18,Free
UIDJS001e6dc7e2f,25-34,"Tier 1",2024-02-04,VIP,NULL,NULL,NULL
UIDJS00242dbc61e,35-44,"Tier 2",2024-06-27,Free,2024-08-11,NULL,NULL
UIDJS00248560e10,25-34,"Tier 1",2024-02-15,Premium,2024-04-30,NULL,NULL
UIDJS00252193546,25-34,"Tier 1",2024-02-01,Premium,NULL,NULL,NULL
UIDJS0025897ad93,25-34,"Tier 1",2024-01-17,Premium,2024-04-12,NULL,NULL
UIDJS0025e8e93b2,35-44,"Tier 3",2024-06-08,Free,NULL,NULL,NULL
UIDJS00297537d46,25-34,"Tier 2",2024-07-25,Premium,NULL,NULL,NULL
UIDJS002b38945e6,25-34,"Tier 1",2024-04-30,Free,NULL,NULL,NULL
UIDJS002baf6c79c,25-34,"Tier 2",2024-04-21,VIP,2024-06-14,NULL,NULL
UIDJS002d56c1d84,18-24,"Tier 1",2024-06-26,Premium,NULL,NULL,NULL
UIDJS002d59d668d,25-34,"Tier 3",2024-06-24,VIP,NULL,NULL,NULL
UIDJS002d8a58c00,25-34,"Tier 2",2024-11-13,Premium,NULL,NULL,NULL
UIDJS0030d2ca727,35-44,"Tier 1",2024-06-15,Free,NULL,NULL,NULL
UIDJS003113ce2ed,35-44,"Tier 2",2024-09-13,Premium,NULL,NULL,NULL
UIDJS0033e4455c2,35-44,"Tier 1",2024-03-27,Premium,NULL,NULL,NULL
UIDJS003406cc9c7,45+,"Tier 1",2024-03-07,VIP,NULL,NULL,NULL
UIDJS003471b56f7,35-44,"Tier 2",2024-03-26,VIP,2024-04-29,NULL,NULL
UIDJS00362b6934f,25-34,"Tier 1",2024-02-12,VIP,NULL,NULL,NULL
UIDJS00363233d30,25-34,"Tier 2",2024-11-10,VIP,NULL,NULL,NULL
UIDJS0037184af24,25-34,"Tier 1",2024-05-27,VIP,NULL,NULL,NULL
UIDJS0037cb06cd4,18-24,"Tier 2",2024-02-28,Free,NULL,NULL,NULL
UIDJS003b1496e3a,35-44,"Tier 1",2024-06-25,VIP,NULL,NULL,NULL
UIDJS003b75e0d7b,25-34,"Tier 1",2024-07-07,Free,NULL,NULL,NULL
UIDJS003cb5a2cd7,35-44,"Tier 1",2024-06-05,VIP,NULL,2024-10-05,Free
UIDJS003cc71ec21,18-24,"Tier 1",2024-05-18,VIP,2024-06-29,NULL,NULL
UIDJS003d5858107,35-44,"Tier 1",2024-10-09,Premium,NULL,NULL,NULL
UIDJS003f249ed91,45+,"Tier 1",2024-08-19,Premium,NULL,NULL,NULL
UIDJS0043565a103,35-44,"Tier 1",2024-08-13,Free,NULL,NULL,NULL
UIDJS00439d9c88d,35-44,"Tier 1",2024-04-16,VIP,NULL,NULL,NULL
UIDJS0044084587c,35-44,"Tier 2",2024-04-20,Free,2024-08-21,NULL,NULL
UIDJS004528b5ccc,35-44,"Tier 1",2024-08-15,VIP,2024-10-01,NULL,NULL
UIDJS0045d928078,18-24,"Tier 2",2024-04-22,VIP,2024-05-22,NULL,NULL
UIDJS00461ce8fc9,25-34,"Tier 1",2024-08-10,Free,2024-10-08,NULL,NULL
UIDJS0048244a0a2,18-24,"Tier 2",2024-01-18,Premium,NULL,NULL,NULL
UIDJS004c0eb4154,25-34,"Tier 2",2024-02-26,VIP,NULL,2024-09-26,Free
UIDJS004d1ca89e3,18-24,"Tier 1",2024-03-31,VIP,NULL,2024-08-31,Free
UIDJS004da81efab,35-44,"Tier 3",2024-02-23,VIP,NULL,NULL,NULL
UIDJS004e82d55ce,25-34,"Tier 2",2024-04-11,VIP,2024-08-19,NULL,NULL
UIDJS005262ef45f,25-34,"Tier 2",2024-03-24,VIP,NULL,NULL,NULL
UIDJS0052a73a7f9,45+,"Tier 1",2024-09-01,Premium,NULL,NULL,NULL
UIDJS0053c077296,35-44,"Tier 1",2024-03-20,Free,NULL,NULL,NULL
UIDJS00547d09a4d,18-24,"Tier 1",2024-11-24,VIP,NULL,NULL,NULL
UIDJS00562c35b05,35-44,"Tier 2",2024-10-29,VIP,NULL,NULL,NULL
UIDJS00562d6f82f,25-34,"Tier 3",2024-09-09,VIP,NULL,NULL,NULL
UIDJS00565316de3,25-34,"Tier 1",2024-08-22,Premium,NULL,NULL,NULL
UIDJS00569c3c6ff,25-34,"Tier 2",2024-03-23,VIP,NULL,NULL,NULL
UIDJS00590fc3a14,25-34,"Tier 1",2024-07-03,Premium,NULL,NULL,NULL
UIDJS005c98ffd26,25-34,"Tier 1",2024-08-22,Premium,NULL,NULL,NULL
UIDJS005d53dae49,45+,"Tier 3",2024-05-31,Free,NULL,NULL,NULL
UIDJS005e7052e4e,18-24,"Tier 1",2024-10-21,Premium,NULL,NULL,NULL
UIDJS005f238dbb0,45+,"Tier 2",2024-04-03,Premium,NULL,2024-08-03,Free
UIDJS00604c50864,18-24,"Tier 2",2024-06-13,Premium,NULL,NULL,NULL
UIDJS006315e24bf,45+,"Tier 1",2024-01-04,Free,NULL,2024-03-04,Premium
UIDJS0063b1fe9a3,35-44,"Tier 1",2024-05-25,VIP,NULL,2024-07-25,Free
UIDJS0064188c0ae,35-44,"Tier 2",2024-06-20,Premium,2024-11-05,NULL,NULL
UIDJS0065253546b,35-44,"Tier 2",2024-11-05,VIP,NULL,NULL,NULL
UIDJS00657416ff9,25-34,"Tier 1",2024-06-19,VIP,NULL,NULL,NULL
UIDJS006711c9331,25-34,"Tier 1",2024-05-22,Free,NULL,2024-06-22,VIP
UIDJS0067d2c2acc,35-44,"Tier 1",2024-07-01,Premium,2024-11-08,NULL,NULL
UIDJS0069a46fa8c,35-44,"Tier 3",2024-11-26,VIP,NULL,NULL,NULL
UIDJS006baaf046e,18-24,"Tier 1",2024-03-25,Free,NULL,NULL,NULL
UIDJS00704f84649,35-44,"Tier 1",2024-08-29,VIP,2024-10-29,NULL,NULL
UIDJS00724c21312,25-34,"Tier 2",2024-09-29,VIP,NULL,NULL,NULL
UIDJS0074346f6bf,35-44,"Tier 1",2024-06-17,Premium,NULL,NULL,NULL
UIDJS00753e2f5d5,25-34,"Tier 3",2024-04-04,VIP,NULL,2024-05-04,Premium
UIDJS007b5054731,25-34,"Tier 1",2024-03-19,Free,NULL,2024-09-19,VIP
UIDJS0080031cb59,25-34,"Tier 1",2024-11-21,Premium,NULL,NULL,NULL
UIDJS008051a9e72,25-34,"Tier 3",2024-07-06,Free,NULL,NULL,NULL
UIDJS0081b973d9f,25-34,"Tier 1",2024-10-13,Free,NULL,NULL,NULL
UIDJS00849c6506c,25-34,"Tier 1",2024-10-31,VIP,NULL,NULL,NULL
UIDJS0084cfde42c,35-44,"Tier 1",2024-02-13,VIP,NULL,2024-03-13,Premium
UIDJS008583491a5,18-24,"Tier 1",2024-08-28,Premium,NULL,NULL,NULL
UIDJS0088af6fcf3,25-34,"Tier 2",2024-08-24,Premium,NULL,NULL,NULL
UIDJS0088c64821a,35-44,"Tier 1",2024-01-09,Premium,NULL,2024-06-09,VIP
UIDJS008904fb4c2,25-34,"Tier 1",2024-10-08,Free,NULL,NULL,NULL
UIDJS00894ecbea2,18-24,"Tier 2",2024-09-17,VIP,NULL,NULL,NULL
UIDJS00895f1086c,45+,"Tier 1",2024-08-05,VIP,NULL,NULL,NULL
UIDJS0089ccca84b,35-44,"Tier 3",2024-05-16,Free,2024-11-02,NULL,NULL
UIDJS008c56bb33d,25-34,"Tier 1",2024-03-05,Premium,NULL,NULL,NULL
UIDJS008c6bf1240,25-34,"Tier 2",2024-02-29,Premium,NULL,NULL,NULL
UIDJS008d20198a3,25-34,"Tier 1",2024-08-04,VIP,NULL,NULL,NULL
UIDJS008d51689ae,45+,"Tier 1",2024-08-25,Premium,NULL,NULL,NULL
UIDJS008fe1ea9ab,25-34,"Tier 1",2024-02-23,Free,NULL,2024-09-23,Premium
UIDJS009625d7cf8,18-24,"Tier 1",2024-03-29,Premium,NULL,NULL,NULL
UIDJS0097962fdbe,25-34,"Tier 1",2024-05-14,Premium,NULL,NULL,NULL
UIDJS009a975c2e1,25-34,"Tier 1",2024-10-17,VIP,NULL,2024-11-17,Premium
UIDJS009c2aa38ad,35-44,"Tier 1",2024-08-01,VIP,NULL,NULL,NULL
UIDJS009c77ed3b6,18-24,"Tier 1",2024-02-06,Premium,NULL,NULL,NULL
UIDJS009d0800903,25-34,"Tier 1",2024-10-21,Premium,NULL,NULL,NULL
UIDJS009e8ee704d,25-34,"Tier 1",2024-03-19,Free,2024-10-18,NULL,NULL
UIDJS009eabf9e61,25-34,"Tier 2",2024-11-22,Free,NULL,NULL,NULL
UIDJS00a06464c5f,25-34,"Tier 1",2024-09-17,Free,NULL,NULL,NULL
UIDJS00a2e4c9712,18-24,"Tier 1",2024-05-01,Free,NULL,NULL,NULL
UIDJS00a3f3bb005,18-24,"Tier 1",2024-08-22,VIP,NULL,NULL,NULL
UIDJS00a4a28bba0,25-34,"Tier 1",2024-03-02,Premium,NULL,NULL,NULL
UIDJS00a533dec6f,35-44,"Tier 1",2024-02-13,Free,NULL,NULL,NULL
UIDJS00a70c2d65b,25-34,"Tier 1",2024-11-15,VIP,NULL,NULL,NULL
UIDJS00a8ec2d48f,25-34,"Tier 2",2024-11-24,Free,NULL,NULL,NULL
UIDJS00a9dd47915,35-44,"Tier 1",2024-01-12,Premium,NULL,NULL,NULL
UIDJS00aa80b3d62,25-34,"Tier 3",2024-10-19,VIP,NULL,NULL,NULL
UIDJS00ab7f72df6,25-34,"Tier 1",2024-03-08,VIP,NULL,NULL,NULL
UIDJS00afe9e654f,35-44,"Tier 2",2024-07-25,Free,NULL,NULL,NULL
UIDJS00b13ca0a86,25-34,"Tier 1",2024-05-13,Free,NULL,NULL,NULL
UIDJS00b2f7a03ff,18-24,"Tier 1",2024-09-18,VIP,2024-12-14,NULL,NULL
UIDJS00b38e44e50,45+,"Tier 1",2024-09-07,VIP,NULL,NULL,NULL
UIDJS00b415b3873,25-34,"Tier 1",2024-08-12,Free,NULL,NULL,NULL
UIDJS00b4213ab43,25-34,"Tier 1",2024-07-08,Premium,NULL,NULL,NULL
UIDJS00b646c2cfa,35-44,"Tier 2",2024-08-29,Premium,NULL,NULL,NULL
UIDJS00b9699bdef,25-34,"Tier 2",2024-10-18,VIP,NULL,NULL,NULL
UIDJS00b9999559e,25-34,"Tier 1",2024-08-09,Premium,NULL,2024-10-09,Free
UIDJS00bb364c356,18-24,"Tier 1",2024-02-04,VIP,2024-10-08,NULL,NULL
UIDJS00bc41929e3,25-34,"Tier 1",2024-01-02,Premium,NULL,NULL,NULL
UIDJS00bc4e81240,45+,"Tier 2",2024-08-19,VIP,2024-12-16,NULL,NULL
UIDJS00bea31d4c6,25-34,"Tier 1",2024-06-21,Premium,NULL,NULL,NULL
UIDJS00bf95da3ab,25-34,"Tier 1",2024-11-21,VIP,NULL,NULL,NULL
UIDJS00c01dc7f36,45+,"Tier 2",2024-08-29,Free,NULL,NULL,NULL
UIDJS00c12b09fce,45+,"Tier 2",2024-10-27,VIP,NULL,NULL,NULL
UIDJS00c5c5db3e0,25-34,"Tier 2",2024-06-10,VIP,NULL,NULL,NULL
UIDJS00c6661754b,35-44,"Tier 2",2024-11-13,Free,NULL,NULL,NULL
UIDJS00cbf1145b1,35-44,"Tier 1",2024-11-04,Premium,NULL,NULL,NULL
UIDJS00cc522b835,25-34,"Tier 3",2024-07-08,VIP,NULL,2024-09-08,Premium
UIDJS00cd9c982d1,45+,"Tier 1",2024-07-03,VIP,NULL,NULL,NULL
UIDJS00cfea4dfd3,25-34,"Tier 3",2024-02-07,Free,NULL,NULL,NULL
UIDJS00d0490d594,18-24,"Tier 1",2024-08-19,Premium,NULL,NULL,NULL
UIDJS00d40312e2c,18-24,"Tier 1",2024-07-19,Premium,NULL,NULL,NULL
UIDJS00d4428a59a,18-24,"Tier 2",2024-07-16,Premium,NULL,NULL,NULL
UIDJS00d7a5a87d0,25-34,"Tier 1",2024-05-21,VIP,NULL,2024-11-21,Free
UIDJS00d8867463a,25-34,"Tier 3",2024-08-25,Free,NULL,2024-09-25,Premium
UIDJS00da47f7091,35-44,"Tier 2",2024-09-02,VIP,NULL,NULL,NULL
UIDJS00db757802d,18-24,"Tier 3",2024-02-02,VIP,NULL,2024-08-02,Free
UIDJS00dccf092c8,25-34,"Tier 2",2024-05-02,Free,NULL,NULL,NULL
UIDJS00de1e546a5,35-44,"Tier 1",2024-08-20,Premium,NULL,NULL,NULL
UIDJS00df921f5f7,25-34,"Tier 1",2024-08-26,VIP,NULL,2024-12-26,Free
UIDJS00dfd707f4a,45+,"Tier 2",2024-07-09,Premium,NULL,NULL,NULL
UIDJS00e0574eff7,25-34,"Tier 1",2024-04-23,VIP,NULL,2024-06-23,Premium
UIDJS00e0d5425aa,45+,"Tier 1",2024-05-21,Free,NULL,NULL,NULL
UIDJS00e408cc296,45+,"Tier 1",2024-05-25,VIP,2024-07-12,NULL,NULL
UIDJS00e493640aa,25-34,"Tier 2",2024-07-05,Premium,NULL,NULL,NULL
UIDJS00e5f02e1a4,25-34,"Tier 3",2024-11-13,Free,NULL,NULL,NULL
UIDJS00e9194e96f,25-34,"Tier 2",2024-05-22,VIP,NULL,NULL,NULL
UIDJS00e96d887cb,18-24,"Tier 1",2024-11-18,Free,NULL,NULL,NULL
UIDJS00e9da8618e,25-34,"Tier 3",2024-02-28,Free,2024-09-14,NULL,NULL
UIDJS00ec8926486,25-34,"Tier 3",2024-04-24,VIP,2024-05-24,NULL,NULL
UIDJS00ed1970ef8,45+,"Tier 1",2024-10-21,Premium,2024-12-05,NULL,NULL
UIDJS00ed69c840e,18-24,"Tier 3",2024-04-18,Free,2024-08-09,NULL,NULL
UIDJS00eebacd063,25-34,"Tier 2",2024-03-17,VIP,NULL,NULL,NULL
UIDJS00ef400a3d0,25-34,"Tier 1",2024-11-21,Free,2024-12-12,NULL,NULL
UIDJS00f080227ef,25-34,"Tier 2",2024-03-12,Free,NULL,2024-05-12,Premium
UIDJS00f0a6e9826,35-44,"Tier 2",2024-10-03,VIP,NULL,NULL,NULL
UIDJS00f0edc6a57,25-34,"Tier 3",2024-06-08,Premium,NULL,NULL,NULL
UIDJS00f156b9ccd,25-34,"Tier 2",2024-10-16,Premium,NULL,NULL,NULL
UIDJS00f1e7456eb,35-44,"Tier 3",2024-10-02,VIP,NULL,NULL,NULL
UIDJS00f26419235,25-34,"Tier 2",2024-02-24,VIP,NULL,NULL,NULL
UIDJS00f4e386e93,18-24,"Tier 2",2024-02-16,Free,NULL,NULL,NULL
UIDJS00f56feb067,25-34,"Tier 2",2024-01-18,Free,2024-10-31,NULL,NULL
UIDJS00f57fb34ad,35-44,"Tier 1",2024-04-05,Free,NULL,2024-10-05,VIP
