user_id,device_type,total_watch_time_mins
UIDLC459c98ee486,Mobile,502
UIDLCe4b2fd90790,Mobile,2098
UIDLCbc8f0a05367,Mobile,557
UIDLC9fc67130445,Mobile,1720
UIDLC7026c3e0374,Mobile,908
UIDLCfc6004ebc8e,Mobile,1236
UIDLC3f707a97604,Mobile,3581
UIDLC9bd46eb4da5,Mobile,420
UIDLC1cda6a47ee8,Mobile,540
UIDLCd362c5b120d,Mobile,544
UIDLCe4f85d139e8,Mobile,404
UIDLC3195fcc20eb,Mobile,1288
UIDLC585d3e32232,Mobile,1387
UIDLC99993d981fd,Mobile,7995
UIDLC7e08d95c999,Mobile,238
UIDLCd4f17bd7312,Mobile,1484
UIDLC70989a0a269,Mobile,402
UIDLC0c335cc0eb1,Mobile,1612
UIDLCf9164221902,Mobile,129
UIDLC261bf496609,Mobile,41
UIDLC816018c2db9,Mobile,172
UIDLC81d98329f4d,Mobile,68
UIDLCd029f231894,Mobile,576
UIDLC074078ee4d2,Mobile,235
UIDLC910a62d5993,Mobile,2861
UIDLC5bc98214de9,Mobile,7077
UIDLC46c49645dfd,Mobile,5872
UIDLCc07cd3570d5,Mobile,553
UIDLC1445d2b31c0,Mobile,1015
UIDLC80818eae544,Mobile,631
UIDLC277597868f3,Mobile,504
UIDLCefc7cd051d7,Mobile,651
UIDLC9cd196f9fab,Mobile,7649
UIDLC8b9186f4480,Mobile,392
UIDLC6a7cbdfd1a3,Mobile,460
UIDLC215d4cada37,Mobile,169
UIDLCfdc1c1dc299,Mobile,1968
UIDLCe487b61a5fb,Mobile,167
UIDLC39810a87577,Mobile,7706
UIDLC2a9e7ae1254,Mobile,3812
UIDLCa2e9aa3408c,Mobile,3570
UIDLC96b7067d920,Mobile,857
UIDLC32550cf95ca,Mobile,2634
UIDLC5c9dc75ccf3,Mobile,6068
UIDLC769c4348f56,Mobile,5500
UIDLC5df89ee498f,Mobile,2933
UIDLC596f89bd93d,Mobile,853
UIDLC87f319dab2a,Mobile,1298
UIDLC8ec7ce95fcf,Mobile,16236
UIDLC7d521f49f24,Mobile,284
UIDLCea7b7a109e1,Mobile,6028
UIDLCf059c2c0be3,Mobile,4122
UIDLC78183667f35,Mobile,853
UIDLC48bfab8382f,Mobile,698
UIDLC341cd04a31f,Mobile,2847
UIDLCc5971ee46d2,Mobile,5508
UIDLCbdefe6439ab,Mobile,512
UIDLCa231336372f,Mobile,6738
UIDLCd9ecb29c84a,Mobile,2530
UIDLC76152225f7b,Mobile,385
UIDLCecd5d4dea09,Mobile,270
UIDLC3a3f3409f9e,Mobile,5732
UIDLCdac5bd7687c,Mobile,3248
UIDLCbfd978e23f8,Mobile,903
UIDLCc772b14e9bb,Mobile,624
UIDLC4083f91d116,Mobile,224
UIDLCb29e5f8afce,Mobile,65
UIDLCcf55cc5e5cb,Mobile,3018
UIDLC04b59cb1e99,Mobile,2019
UIDLCb7b2afbc4d9,Mobile,6148
UIDLC1988c0fa3ec,Mobile,7811
UIDLC8dd4ce75d19,Mobile,1489
UIDLCaacf7184bd9,Mobile,587
UIDLC7a924876a66,Mobile,485
UIDLC2a561724844,Mobile,55
UIDLCbff73e25cbc,Mobile,9653
UIDLC381b49829a3,Mobile,506
UIDLCdf9d0b595ce,Mobile,804
UIDLCd1bb6131506,Mobile,4140
UIDLC6c22b7f2880,Mobile,20880
UIDLCa390e0eb79a,Mobile,102
UIDLC3c0ed4cd78d,Mobile,471
UIDLC6d4c7daa034,Mobile,1423
UIDLC5c516faef70,Mobile,10317
UIDLC0d22e8b3b3a,Mobile,1490
UIDLC5f726880709,Mobile,14795
UIDLCd666de66fb2,Mobile,2454
UIDLCb9c23d7cc3f,Mobile,9365
UIDLCec3d4080254,Mobile,121
UIDLC92e2f57d705,Mobile,1869
UIDLC9e23af835ce,Mobile,1236
UIDLCc046c8136ac,Mobile,866
UIDLCd2585481b65,Mobile,1747
UIDLC2dc5b7dd90e,Mobile,875
UIDLC3a29ff1eb2a,Mobile,507
UIDLC5b572f9e2ac,Mobile,281
UIDLCac0c734bdf6,Mobile,71
UIDLCfdba32f1951,Mobile,4101
UIDLCc3a7674e73b,Mobile,583
UIDLCdc4be614cf6,Mobile,5995
UIDLCa5271b1fa5f,Mobile,826
UIDLC9867e8f67b3,Mobile,1693
UIDLCa906d3ff948,Mobile,331
UIDLCa6fba0250f3,Mobile,12157
UIDLCe8f77892c89,Mobile,3923
UIDLCdd67d44f385,Mobile,2919
UIDLC3270dc0ba1d,Mobile,3636
UIDLC617681c7c96,Mobile,8124
UIDLC2608adc3d0c,Mobile,635
UIDLC0e03f71d093,Mobile,2940
UIDLC9d00ff25ee3,Mobile,319
UIDLCcd54cc49ae1,Mobile,1651
UIDLC83108917e4f,Mobile,1584
UIDLCd34cfaf264d,Mobile,1125
UIDLC7f231dc9ecf,Mobile,4139
UIDLC88ea5942ad9,Mobile,3358
UIDLC3a55e047ffd,Mobile,1374
UIDLC8776f9254ce,Mobile,345
UIDLC3f29e31ef57,Mobile,442
UIDLC3b6dd2300a0,Mobile,1152
UIDLCbad2d53bb9a,Mobile,143
UIDLC7de0a07604e,Mobile,599
UIDLC78746a13bbb,Mobile,2735
UIDLC3b0fd596c15,Mobile,3855
UIDLCf59589d1b90,Mobile,2035
UIDLCbafc1237823,Mobile,950
UIDLC69876f21d0f,Mobile,5041
UIDLC59991ada276,Mobile,1082
UIDLC100c6ef3fb2,Mobile,4632
UIDLCf4c5a87806a,Mobile,278
UIDLCbddcd8f7291,Mobile,123
UIDLCb6dd3f8136c,Mobile,2372
UIDLCf6d68c9eefe,Mobile,105
UIDLC17cc24a53a4,Mobile,88
UIDLC2ef55daae4b,Mobile,289
UIDLC56083e119cf,Mobile,818
UIDLC56da1363d42,Mobile,278
UIDLCa5c9154e3f1,Mobile,3869
UIDLCe6ae986f629,Mobile,2659
UIDLCcf05b7c2c05,Mobile,656
UIDLC7f2fa1ab1ab,Mobile,14053
UIDLCd3750a7b76c,Mobile,344
UIDLCba24ac20b64,Mobile,1804
UIDLC970360a4a28,Mobile,775
UIDLCeb1a2785e01,Mobile,719
UIDLC6d88d168254,Mobile,2675
UIDLCae7902610ee,Mobile,418
UIDLC25d2eeeb281,Mobile,509
UIDLC38cdb8ea088,Mobile,2938
UIDLC769d6fec9c0,Mobile,5978
UIDLC80ba2ce888f,Mobile,3887
UIDLC3bb5edf0dc8,Mobile,15089
UIDLCa6bee7457be,Mobile,1642
UIDLCa0ac208d4db,Mobile,1597
UIDLC30e4326ecc9,Mobile,5255
UIDLCd4db8b1b18b,Mobile,10470
UIDLC05d401e6137,Mobile,6219
UIDLCe5c66bccbd6,Mobile,1500
UIDLC7f332186356,Mobile,3546
UIDLC178968809d9,Mobile,213
UIDLC546ebd07c0b,Mobile,3128
UIDLC31bd3465433,Mobile,186
UIDLCeff04918b54,Mobile,179
UIDLCe281278b490,Mobile,257
UIDLCba72a1399a8,Mobile,131
UIDLC1d944ae09d8,Mobile,811
UIDLC6dc43903385,Mobile,1969
UIDLC9b42839ed64,Mobile,1683
UIDLC6869982ea86,Mobile,3382
UIDLCcab3655a206,Mobile,7090
UIDLC30d4c98e0a3,Mobile,564
UIDLC81e50e766bc,Mobile,1960
UIDLCd01b8728a3f,Mobile,341
UIDLC26da0839dc9,Mobile,8810
UIDLCe5c2073d8ed,Mobile,789
UIDLCa68dade8789,Mobile,198
UIDLCf49c77c435e,Mobile,8787
UIDLCd9a90191c05,Mobile,615
UIDLCe0bfba0df53,Mobile,526
UIDLCf3aa1e8466c,Mobile,2511
UIDLCb795bad7161,Mobile,516
UIDLC8b53445f3e9,Mobile,3138
UIDLC4c090939c1b,Mobile,23504
UIDLCf1892bc8fad,Mobile,360
UIDLCa8606d2c66a,Mobile,538
UIDLCe4f162320cf,Mobile,481
UIDLC4d2bb844ebe,Mobile,1821
UIDLCcbb300f1ca4,Mobile,533
UIDLCf5968557d05,Mobile,354
UIDLC30ae9db4210,Mobile,4060
UIDLCc18ec545020,Mobile,22024
UIDLCc481499d4ba,Mobile,159
UIDLC74aab4b6702,Mobile,13598
UIDLCea826c52aab,Mobile,4781
UIDLC8a6040a3c92,Mobile,858
UIDLC13985c391ce,Mobile,3052
UIDLCd8a6ac61d89,Mobile,1114
UIDLC0826620881e,Mobile,2476
UIDLC38b873c7570,Mobile,867
UIDLC24c7e76357b,Mobile,9318
UIDLC4b033e9e784,Mobile,606
UIDLCa7635936844,Mobile,3338
UIDLC790438d55bc,Mobile,7687
UIDLC711b523352e,Mobile,211
UIDLC7b72979db0f,Mobile,2099
UIDLC1353d3c6fc8,Mobile,13068
UIDLCf0081d097e5,Mobile,1156
UIDLC313b6bd0772,Mobile,2957
UIDLC9e802bcc12a,Mobile,1482
UIDLC02c509382d5,Mobile,88
UIDLC2a3cf16a12f,Mobile,11706
UIDLC95e9f2d64cd,Mobile,6213
UIDLC197e9f61eb7,Mobile,914
UIDLCaefe78839a5,Mobile,1094
UIDLC64a0fc2b321,Mobile,639
UIDLC136cd044cd6,Mobile,3307
UIDLC300c89f5523,Mobile,141
UIDLC78bc1df76f1,Mobile,3075
UIDLC16f3bf56bbb,Mobile,4071
UIDLC74bdd271737,Mobile,1337
UIDLC04d4bd74483,Mobile,10152
UIDLC15c902a7d24,Mobile,13569
UIDLC43cfe1ed519,Mobile,104
UIDLCa712d371442,Mobile,3319
UIDLCa7c866b6c21,Mobile,1380
UIDLC4f9d566afbb,Mobile,16194
UIDLCc7463c4a35d,Mobile,6220
UIDLC9b7aacd54bf,Mobile,5045
UIDLCe844b75e2fe,Mobile,1171
UIDLC7bd4882c6b5,Mobile,916
UIDLC427b08a68e3,Mobile,848
UIDLC8f55f518b20,Mobile,458
UIDLC368711338ab,Mobile,1373
UIDLC1738cf8f117,Mobile,11231
UIDLC82fd886daa0,Mobile,84
UIDLC0d3952ae9d6,Mobile,9163
UIDLCda7eff466d3,Mobile,64
UIDLCfe8cf15bec2,Mobile,635
UIDLC4ee1515a3a0,Mobile,1917
UIDLC3697f4a85bf,Mobile,1169
UIDLCc3b4b6f3384,Mobile,1124
UIDLC707eceec165,Mobile,470
UIDLCa74633a85a7,Mobile,1687
UIDLC1f70e73c517,Mobile,1243
UIDLC4d8fd7e57ba,Mobile,513
UIDLC22fbf6b8c72,Mobile,2361
UIDLC95a31709515,Mobile,5064
UIDLC42a851bd330,Mobile,1285
UIDLC0eade6e6afb,Mobile,2946
UIDLC8dbaae6c9d1,Mobile,7933
UIDLCec04830d00c,Mobile,9842
UIDLC8d24a8f8dc0,Mobile,2297
UIDLC06432c2f6c0,Mobile,16642
UIDLC9c79b500b0a,Mobile,1180
UIDLC2b562b4df45,Mobile,1456
UIDLC0c0b788855a,Mobile,9067
UIDLCa28adced7e6,Mobile,819
UIDLC251e5617c7b,Mobile,21962
UIDLC2572e3ef590,Mobile,1660
UIDLCf962ffad035,Mobile,144
UIDLC5577d33279d,Mobile,737
UIDLC59a7ce4dfd3,Mobile,18285
UIDLCd661066c419,Mobile,8422
UIDLC716be09228b,Mobile,1916
UIDLC6fb89995919,Mobile,601
UIDLC833bddf24bd,Mobile,7026
UIDLC8455f7cde03,Mobile,3507
UIDLC1e5829d265a,Mobile,539
UIDLCb89b5afc0b4,Mobile,272
UIDLCdf63f52476f,Mobile,6400
UIDLC55306ba40f4,Mobile,1426
UIDLC003739b1bb8,Mobile,754
UIDLC6ea248fe5ab,Mobile,694
UIDLCa37ac0b9c67,Mobile,124
UIDLC1fea21d8ffe,Mobile,188
UIDLC37a3728fe72,Mobile,1931
UIDLCb00d81fefe9,Mobile,756
UIDLCb0e8452ee8b,Mobile,9130
UIDLC6a3b1b10fd2,Mobile,1157
UIDLC8ce2dc301e0,Mobile,723
UIDLC0e5d02cc98f,Mobile,607
UIDLC3ebe58a1278,Mobile,3169
UIDLC8b8f5aefe21,Mobile,15322
UIDLCeda2d6668e1,Mobile,112
UIDLCccec64fb7d7,Mobile,2090
UIDLCa498399eb91,Mobile,235
UIDLCd4d554b1086,Mobile,6060
UIDLC6ab774e9aba,Mobile,12917
UIDLCc3615df0894,Mobile,418
UIDLC45e7979408c,Mobile,108
UIDLCc4d0f2856dc,Mobile,562
UIDLCadabfaab3a4,Mobile,1924
UIDLC5837d851192,Mobile,997
UIDLCead110802be,Mobile,13542
UIDLCbd558387d75,Mobile,445
UIDLC30c318c3cda,Mobile,332
UIDLC03da774f237,Mobile,6943
UIDLC64999af76fa,Mobile,3050
UIDLC45ac14203a1,Mobile,2079
UIDLCee46704ed5c,Mobile,390
UIDLC68876de7446,Mobile,1420
UIDLCfcf30b98896,Mobile,838
UIDLC9bf51df9a4a,Mobile,2561
UIDLC97e131f0d0a,Mobile,1004
UIDLC7d17eb348ce,Mobile,1042
UIDLC7b26f19c1a5,Mobile,248
UIDLC6bbde255264,Mobile,715
UIDLCfd5e4fdc016,Mobile,928
UIDLCe6e62817194,Mobile,844
UIDLCd2b5e7b60c8,Mobile,2902
UIDLCa06e59b0324,Mobile,173
UIDLCc8da24b71a0,Mobile,781
UIDLC5b5a77f9394,Mobile,414
UIDLC0365c2b0e7d,Mobile,10728
UIDLCb2e5a25216e,Mobile,11066
