age_group,city_tier,subscription_plan,user_count
25-34,"Tier 3",Free,15339
18-24,"Tier 1",Basic,5297
35-44,"Tier 2",Premium,1665
18-24,"Tier 3",Free,23748
18-24,"Tier 2",Premium,3803
45+,"Tier 3",Premium,575
45+,"Tier 2",Free,3321
25-34,"Tier 2",Free,9419
18-24,"Tier 1",Free,8126
18-24,"Tier 3",Basic,7951
18-24,"Tier 2",Free,13806
45+,"Tier 3",Basic,1924
25-34,"Tier 1",Basic,3611
45+,"Tier 1",Premium,1075
35-44,"Tier 1",Basic,2038
18-24,"Tier 3",Premium,2581
18-24,"Tier 1",Premium,4577
45+,"Tier 1",Basic,1347
35-44,"Tier 3",Free,9622
35-44,"Tier 3",Premium,992
45+,"Tier 2",Premium,1130
18-24,"Tier 2",Basic,9924
35-44,"Tier 2",Free,5642
35-44,"Tier 1",Premium,1788
25-34,"Tier 1",Premium,2866
45+,"Tier 2",Basic,2150
45+,"Tier 3",Free,5683
35-44,"Tier 2",Basic,4249
25-34,"Tier 1",Free,5251
25-34,"Tier 2",Basic,6247
45+,"Tier 1",Free,1841
35-44,"Tier 3",Basic,3370
35-44,"Tier 1",Free,3194
25-34,"Tier 2",Premium,2492
25-34,"Tier 3",Basic,5254
25-34,"Tier 3",Premium,1548
